geo_key,latitude,longitude
"Nandigaon,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.1185749,78.2519325
"Sontyam,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8660372,83.2946041
"Mopada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Kandi,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.5168428,78.3504968
"Ibrahimpatnam,Vijayawada, Vizianagaram, Andhra Pradesh, India",16.5830507,80.5486512
"Telaprolu,Vijayawada, Vizianagaram, Andhra Pradesh, India",,
"Gannavaram,Vijayawada, Vizianagaram, Andhra Pradesh, India",16.5133305,80.7076296
"Vuyyuru,Vijayawada, Vizianagaram, Andhra Pradesh, India",16.3716365,80.841741
"Kankipadu,Vijayawada, Vizianagaram, Andhra Pradesh, India",16.4047197,80.7979453
"Korada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9976377,83.3802324
"Namburu,Vijayawada, Vizianagaram, Andhra Pradesh, India",16.5154549,80.6357371
"Balaji Nagar,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.1045868,83.3974793
"Ravada,Vizianagaram, Vizianagaram, Andhra Pradesh, India",17.9703654,83.4596109
"Madhavadhara,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.747455,83.2592912
"Pendurthi,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.7992135,83.20117
"Venkatapuram,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.496189,78.5043108
"Bhanur,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Lemoor,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Dwarapureddi Palem,Vizianagaram, Vizianagaram, Andhra Pradesh, India",,
"Tagarapuvalsa,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Bheemunipatnam,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8913852,83.4508737
"Pandrangi,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9631019,83.3664451
"Potpally,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Kapuluppada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8536175,83.3855601
"Bheemili,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8898601,83.4382376
"Dundigal,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.5062095,78.5051076
"Dakamarri,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9889945,83.4009707
"Pydibimavaram,Srikakulam, Vizianagaram, Andhra Pradesh, India",,
"K Seetharampuram,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.4809654,83.7169784
"Polipalle,Vizianagaram, Vizianagaram, Andhra Pradesh, India",17.9667254,83.4383252
"Maddi,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9808418,83.3241221
"Revidi,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9641784,83.3728604
"S.Kota,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Savaravilli,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9703589,83.39232
"Madhurawada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8102465,83.3540167
"Rajapulova,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Yendada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.7831798,83.3575511
"NH -5,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.6935526,83.2921297
"Seetamma Peta,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.734685,83.3097826
"Pothinamallayya Palem,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Seethammadhara,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.7450158,83.3061606
"Maddilapalem,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.7352245,83.3209373
"Pusapatirega,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0914739,83.551775
"Lankalapalem,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Raikal,Jagtial, Vizianagaram, Andhra Pradesh, India",18.9047907,78.8080213
"Konada village,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0164999,83.5631501
"Atchutapuram,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.5603184,82.9774949
"Kumaram,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0459233,83.3216122
"Arinam Akkivalasa,Srikakulam, Vizianagaram, Andhra Pradesh, India",18.2693492,83.7786675
"Srikakulam,Srikakulam, Vizianagaram, Andhra Pradesh, India",18.2949307,83.8938844
"Korukonda,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0641785,83.3349717
"Chinamushidiwada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8127687,83.2255539
"Ramatheertham,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Gidijala,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8935482,83.2929309
"Adibatla,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Shadnagar,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.0943572,78.2091059
