address,lat,lon
"Ambikagirinagar,Guwahati, India",,
"Gandhi Basti,Guwahati, India",26.1815474,91.7619396
"Japorigog,Guwahati, India",26.1551026,91.78227
"Lal Ganesh,Guwahati, India",,
"Dispur,Guwahati, India",26.1598156,91.7731426
"Kaliabor,Nagaon, India",26.5493378,92.9856301
"Panigaon Chariyali,Nagaon, India",,
"Vartak,Tezpur, India",,
"Mahabhairab,Tezpur, India",26.6342195,92.796307
"Ratnapur,Nagaon, India",,
"Fauzdaripatty,Nagaon, India",,
"Downtown,Guwahati, India",,
"Azara,Guwahati, India",26.1385795,91.6350313
"Bharalumukh,Guwahati, India",26.1716385,91.7292129
"Borsojai,Guwahati, India",,
"Bamunimaidam,Guwahati, India",26.1852211,91.7886629
"Nalapara,Guwahati, India",,
"Ahom Gaon,Guwahati, India",,
"Jyoti Nagar,Guwahati, India",26.172945,91.7615399
"Rehabari,Guwahati, India",26.1702255,91.751208
"Rupnagar,Guwahati, India",,
"Uzan Bazar,Guwahati, India",26.1919547,91.7553245
"Chandmari,Guwahati, India",26.1841165,91.7740906
"Assam Trunk Road,Sibsagar, India",27.0216304,94.6672942
"Club Road,Jorhat, India",26.7370138,94.2185279
"Bokakhat,Golaghat, India",26.6935737,93.5453657
"Uriagaon,Nagaon, India",26.3442368,92.7446584
"Chengeligaon,Jorhat, India",,
"Paruwa Chariali,Tezpur, India",26.6531802,92.7989736
"Jatani,Bhubaneswar, India",20.2227868,85.8110702
"9th Mile,Guwahati, India",26.1805978,91.753943
"Atilagaon,Jorhat, India",,
"Tisgaon,Aurangabad, India",19.8749657,75.256294
"Garkheda,Aurangabad, India",,
"Padegaon,Aurangabad, India",,
"Shendra MIDC,Aurangabad, India",19.8718438,75.4708665
"Adyar,Chennai, India",13.00645,80.2577791
"Cidco,Aurangabad, India",19.877755,75.3630638
"Ulkanagari,Aurangabad, India",,
"Chikhalnthana,Aurangabad, India",,
"Pannalal Nagar,Aurangabad, India",,
"Jalna Road,Aurangabad, India",19.8743511,75.3650229
"M I D C Waluj,Aurangabad, India",,
"Satara Pariser,Aurangabad, India",,
"Old Airport Road,Aurangabad, India",,
"Gangapur,Aurangabad, India",19.697402,75.008919
"Samarth Nagar,Aurangabad, India",19.8772446,75.3236915
"Kanakapura Road,Bangalore, India",12.8774226,77.5449653
"Beed Bypass,Aurangabad, India",19.8427811,75.4099407
"Senneer Kuppam,Chennai, India",,
"Poonamallee,Chennai, India",13.0241788,80.1782496
"Deolai,Aurangabad, India",,
"Satara Parisar,Aurangabad, India",19.8515226,75.311624
"Nakshatrawadi,Aurangabad, India",,
"Warud,Aurangabad, India",,
"Waluj,Aurangabad, India",19.7966101,75.2248813
"Khalifabagh Chowk,Bhagalpur, India",,
"Katrap,Badlapur, India",19.1644728,73.2283273
"Harni,Vadodara, India",22.3357564,73.2175201
"Lohegaon,Pune, India",18.5803749,73.9182265
"Sinhgad Road,Pune, India",18.4538138,73.8388505
"Vasai West,Mumbai, India",,
"Mirjanhat,Bhagalpur, India",25.2343822,86.9808715
"Wagholi,Pune, India",18.5806299,73.9833099
"Mota Mava,Rajkot, India",,
"Talegaon Dabhade,Pune, India",18.7337107,73.6728593
"Chakan,Pune, India",18.7623111,73.8625448
"Shri Krishna Nagar,Nagpur, India",21.1314474,79.1143818
"Dombivli,Thane, India",19.2148599,73.0910271
"Koregaon Park,Pune, India",18.5366225,73.8932738
"Wakad,Pune, India",18.6022495,73.7644454
"Digha,Patna, India",25.6442176,85.0907338
"Habibpur,Bhagalpur, India",25.2227225,86.9808474
"Naripa,Bhagalpur, India",,
"Nawabbag Colony,Bhagalpur, India",,
"Mithapur,Patna, India",25.599332,85.1338428
"Phulwari Sharif,Patna, India",25.5866072,85.0802796
"Tilkamanjhi,Bhagalpur, India",,
"Anisabad,Patna, India",25.5858278,85.0964126
"Sabour,Bhagalpur, India",25.2281735,87.0636166
"Laheari Tola,Bhagalpur, India",,
"Khanjarpur,Bhagalpur, India",,
"Bailey Road,Patna, India",25.610627,85.1262786
"Adampur,Bhagalpur, India",,
"Newalal Chowk,Purnia, India",,
"Bilasi Town,Deoghar, India",,
"Nilkanth Nagar,Bhagalpur, India",,
"Bodhgaya,Gaya, India",24.677623,84.9727292
"Chandauti,Gaya, India",24.7501319,84.9839828
"Jaganpura,Patna, India",25.5839202,85.1520139
"North Shastri Nagar,Patna, India",25.617541,85.0999473
"Patliputra Colony,Patna, India",25.6291729,85.1095929
"Kadamkuan,Patna, India",,
"Gaya Dobhi Road,Gaya, India",24.7411014,84.9645395
"Paigamber Pur Kolhua,Muzaffarpur, India",,
"Ahiyapur,Muzaffarpur, India",,
"Bela Road,Muzaffarpur, India",25.9099726,85.5348442
"Boring Road,Patna, India",25.616517,85.1137693
"Brahmpura,Muzaffarpur, India",,
"Surat City,Surat, India",21.2094892,72.8317058
"Mavdi,Rajkot, India",22.2608207,70.7816299
"Saguna More,Patna, India",25.6233883,85.0416756
"Karjat,Thane, India",19.1529637,73.2458478
"Nigdi,Pune, India",18.6598134,73.7772821
"Roadpali,Navi Mumbai, India",19.0392786,73.0992311
"Kalyan East,Thane, India",19.2278526,73.1322955
"Panvel,Navi Mumbai, India",19.0692422,72.9866726
"Pushpak Nagar,Navi Mumbai, India",,
"Arandia,Indore, India",,
"Ghansoli,Navi Mumbai, India",19.1163797,73.0069928
"Dombivli East,Thane, India",19.2111814,73.091129
"Kamothe,Navi Mumbai, India",19.0164338,73.0806552
"Kondhwa,Pune, India",18.4779905,73.8940627
"Shivane,Pune, India",18.4670411,73.7930648
"Mira Road,Mumbai, India",19.1878962,72.8365955
"Badlapur,Thane, India",19.1666237,73.2389064
"Nere,Pune, India",18.6337128,73.6956843
"Charkop,Mumbai, India",19.2141193,72.8258652
"Kamshet,Pune, India",18.7669374,73.5524324
"Kalol,Ahmedabad, India",,
"New Panvel,Navi Mumbai, India",18.9982037,73.1236641
"Sector 73,Noida, India",28.4716237,77.5312204
"Dhayari,Pune, India",18.4373984,73.8190432
"Sanpada,Navi Mumbai, India",19.0659774,73.0095329
"Badlapur East,Thane, India",19.1532664,73.2412085
"Vashi,Navi Mumbai, India",19.0632481,72.9987966
"Garia,Kolkata, India",22.4726577,88.3977506
"Kopar Khairane,Navi Mumbai, India",19.1056227,72.9988648
"Old Mumbai Pune Highway,Pune, India",18.6175317,73.8132447
"Ambegaon BK,Pune, India",18.4582421,73.8287037
"Bihta,Patna, India",25.561037,84.8723411
"Barejadi,Ahmedabad, India",22.8959246,72.6782442
"Satara Road,Pune, India",18.4709277,73.856879
"Raja Bazar,Patna, India",25.6044188,85.0877116
"Pakri,Patna, India",25.5935073,85.1570975
"Raj Nagar Extension,Ghaziabad, India",28.6528305,77.3671095
"Danapur,Patna, India",25.6358901,85.0474045
"Law Garden,Ahmedabad, India",23.0263944,72.5610565
"Dapoli,Ratnagiri, India",17.7580463,73.1887078
"Danapur Khagaul Road,Patna, India",25.639787,85.0558888
"Biscuit Factory Road,Patna, India",25.6350046,85.0675711
"Chimanlal Girdharlal Road,Ahmedabad, India",23.019319,72.5575922
"Rajbhansi Nagar,Patna, India",,
"Baramati,Pune, India",18.2198538,74.4534054
"Khagaul Road,Patna, India",25.639787,85.0558888
"Punaichak,Patna, India",,
"Golambar,Patna, India",25.5854734,85.095562
"Charholi Budruk,Pune, India",18.6531399,73.9079046
"Kothwan,Patna, India",,
"Ashiana Digha Road,Patna, India",,
"Patna City,Patna, India",25.6093239,85.1235252
"Patna Gaya Road,Patna, India",25.5144491,85.1888329
"Parsa,Patna, India",25.5496823,85.1190424
"Ram Krishna Puram,Patna, India",,
"New A G Colony,Patna, India",,
"Haroon Nagar,Patna, India",,
"Naubatpur,Patna, India",25.4750722,84.9670861
"Chirora,Patna, India",,
"Kaliket Nagar,Patna, India",,
"Rupaspur,Patna, India",,
"AG Colony,Patna, India",25.6183221,85.0919223
